Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-06-02,-8.482445929159168,4.193888081034061e-09,-8.167716907250574,2.228793339581591e-08,-8.283065099779746,1.3523304993762043e-08,-8.543600068924627,2.4511034909125258e-09,-8.0780501345391,3.1394379837164684e-08
2025-06-03,-8.8005308794192,8.331598298527821e-09,-8.377307778410874,2.9636164862248138e-08,-8.51904645948768,1.9982781002227767e-08,-8.908495600253168,5.663755153654189e-09,-8.268602378382566,3.9528112488442486e-08
2025-06-04,-9.095582124421762,9.943974105881284e-09,-8.538704722985054,3.3629562096079076e-08,-8.698162705998683,2.3874553962309205e-08,-9.195237741829027,7.931732034217683e-09,-8.416605495636416,4.360416458040867e-08
2025-06-05,-8.589051251667684,8.454413329541161e-10,-8.272463033133352,1.287921763233007e-08,-8.366077023583584,7.76704588467992e-09,-8.587953306469107,8.646907019337534e-10,-8.18829174439569,1.895451625616348e-08
2025-06-06,-9.186804235185487,4.775186398269727e-09,-8.594460953546468,2.3303665784833198e-08,-8.715390765056943,1.728008489432101e-08,-9.053044352934423,7.056538963128092e-09,-8.478057395595021,3.083681596833978e-08
2025-06-09,-9.253581470692218,6.42493536463036e-09,-8.66758613943637,2.4530838339931508e-08,-8.819930285665206,1.7496937790591318e-08,-9.25342658558804,6.42732324588872e-09,-8.548682939920281,3.181614667470114e-08
2025-06-10,-9.241636377117981,3.1341660397990632e-09,-8.65242932039427,1.8275837264640282e-08,-8.781687940284591,1.2949541873312506e-08,-9.145113541097908,4.375322707469018e-09,-8.541992366162349,2.4254380882964256e-08
2025-06-11,-9.095916734319077,1.2923555081955805e-09,-8.599228337808766,1.2874320580933078e-08,-8.71253057315812,8.649940422680735e-09,-9.027594797750325,2.0392149260606254e-09,-8.50178665537533,1.764432955928185e-08
2025-06-12,-9.383799666547487,2.085013603023455e-09,-8.755484320439601,1.4577831810691216e-08,-8.87205503700217,1.065353587809668e-08,-9.196729939520107,4.0462355050844634e-09,-8.647046381908346,1.9302462161330138e-08
2025-06-13,-9.040442094166544,3.6829968611870036e-10,-8.62766585728275,8.161655482687126e-09,-8.714746524094013,5.520149805124032e-09,-8.945064412526666,1.2645505520760626e-09,-8.541337143965904,1.1530324972202388e-08
